time,Open,High,Low,Close,Volume,Quote_Volume
2010-07-31,0.04951,0.09307,0.04951,0.06785,31858.88,1971.5722
2010-08-31,0.06785,0.0769,0.03211,0.06,221738.8,14357.58
2010-09-30,0.06,0.175,0.05761,0.0619,216812.08,13432.38
2010-10-31,0.0619,0.199,0.01,0.1925,1105927.98,117040.26
2010-11-30,0.1925,0.5,0.125,0.2082,826247.0,223555.55
2010-12-31,0.2082,0.301,0.1701,0.3,263653.12,63305.71
2011-01-31,0.3,0.95,0.289,0.5501,377748.46,146786.18
2011-02-28,0.5501,1.1,0.5201,0.8702,367298.76,329120.93
2011-03-31,0.8702,0.97,0.71,0.7846,243299.27,206996.91
2011-04-30,0.7846,4.15,0.5619,3.55,868760.73,1305041.28
2011-05-31,3.55,9.5,2.5,8.741,949022.94,6058715.02
2011-06-30,8.741,31.91,8.3,16.1,1355938.5,25150315.78
2011-07-31,16.1,16.74,11.0,13.35,1051811.23,14834465.93
2011-08-31,13.35,13.55,5.742,8.2,1220997.08,11908332.13
2011-09-30,8.2,8.714,4.18,5.14,1486458.4,8561448.21
2011-10-31,5.14,5.249,2.04,3.248,1731362.02,5716643.72
2011-11-30,3.248,3.44,1.994,2.97,1974397.04,5128897.19
2011-12-31,2.97,4.995,2.61,4.722,1898650.13,6662062.89
2012-01-31,4.722,7.22,4.615,5.484,3209270.36,19598848.91
2012-02-29,5.484,6.2,3.878,4.86,2838891.63,14373028.07
2012-03-31,4.86,5.45,4.3,4.909,1758077.42,8579879.22
2012-04-30,4.909,5.48,4.62,4.949,1655693.6,8244861.97
2012-05-31,4.949,5.2,4.801,5.18,1244436.95,6300321.12
2012-06-30,5.18,6.8,5.18,6.69,1376657.9,8296635.02
2012-07-31,6.69,9.7,6.4,9.35,1902113.46,15300194.79
2012-08-31,9.35,15.4,7.58,10.16,2448065.75,26632980.14
2012-09-30,10.16,12.69,9.719,12.4,959781.3,11004805.98
2012-10-31,12.4,13.09,9.74,11.2,1154902.07,13371962.81
2012-11-30,11.2,12.65,10.33,12.57,804191.68,9252566.14
2012-12-31,12.57,13.9,12.43,13.51,876916.17,11689077.21
2013-01-31,13.51,21.43,13.16,20.41,1455182.66,23733169.1
2013-02-28,20.41,34.52,18.0,33.38,1584313.92,41087401.95
2013-03-31,33.38,95.7,32.92,93.03,2114743.42,122959767.6
2013-04-30,93.03,266.0,50.01,139.23,4730138.36,544404307.3
2013-05-31,139.23,140.06,79.0,128.82,2069915.4,233513431.2
2013-06-30,128.82,130.1,88.0,97.51,1046481.5,112263653.4
2013-07-31,97.51,111.65,65.42,106.21,1124882.18,98699696.35
2013-08-31,106.21,148.7,100.96,141.0,577570.37,68086419.36
2013-09-30,141.0,148.91,121.25,141.9,421360.94,57812501.78
2013-10-31,141.9,233.38,109.7,211.17,748180.13,125637682.6
2013-11-30,211.17,1241.92,209.71,1205.66,1127331.96,638615611.0
2013-12-31,1205.66,1239.86,454.86,805.94,920797.49,760733772.6
2014-01-31,805.94,1093.44,770.97,938.85,306254.22,286856415.7
2014-02-28,938.85,969.19,91.66,573.94,996353.82,341736607.1
